Sector,Project Name,Project Name_English,Analysis,Analysis Information Extracted,Type,Type English,URL,Date,File Size,Document_ID,Project_ID,Feasibility Study Type,Recommendation,Description of Recommendation,Feasibility_Study_Complete,EIIR_Estimated,EIIR_Above_Viable,Climate Change Mentioned,LLM Model Used
Doprava,"ŽSR, Modernizácia koridoru, štátna hranica ČR/SR – Čadca – Krásno nad Kysucou časť: Krásno nad Kysucou - Čadca (vrátane)","ŽSR, Modernization of the corridor, state border CR/SR – Čadca – Krásno nad Kysucou part: Krásno nad Kysucou - Čadca (including)",,,analýza,analysis,https://www.mfsr.sk/files/archiv/78/KnK_Cadca_hranicaSR_uhp_20210707.pdf,7.7.2021,476 kB,1.042,SLK_DP-073,,,,,,,,
Doprava,"Rýchlostná cesta R4 Prešov – severný obchvat, II. etapa","Expressway R4 Prešov – northern bypass, II. stage",,,analýza,analysis,https://www.mfsr.sk/files/archiv/61/stanovisko_vfm_R4_PO_II_20210827.pdf,27.8.2021,532 kB,1.043,SLK_DP-072,,Neutral,"MF SR advises correcting errors in the economic analysis (CBA), assessing the impact of delayed implementation on returns, obtaining a building permit before procurement, and preparing an updated material for government decision. While the published CBA shows the full-profile northern bypass without the feeder (variant 1) is socially beneficial (BCR = 1.18), the analysis still contains technical errors and alternatives may be more efficient (e.g., eastern bypass variant 6 with BCR = 2.37). If proceeding with the presented project, MF SR recommends reducing estimated construction costs to EUR 245 million.",No,"BCR = 1.18 for variant 1 (full profile, after subtracting sunk costs); alternative variant 6: BCR = 2.37","Yes - The published CBA indicates BCR > 1 for variant 1 (1.18), implying viability; however, MF SR highlights technical errors and requests corrections before a final decision, and notes that other variants may be more efficient.",No,gpt-5
Doprava,R2 Šaca – Košické Oľšany - II. etapa (Košice-Juh – Košické Oľšany),R2 Šaca – Košické Olšany - II. stage (Košice-South – Košické Oľsany),,,analýza,analysis,https://www.mfsr.sk/files/archiv/85/kosice_obchvat_vfm_20210914_final.pdf,15.9.2021,526 kB,1.044,SLK_DP-071,,Positive,"Proceed with implementation. The Ministry recommends continuing the project because it is socially beneficial (CBA shows BCR 2.11), is at an advanced stage of preparation, and has secured funding from OPII. Note: only one variant was assessed and the relief to city roads is limited, but the overall recommendation remains to continue.",No,Benefit-Cost Ratio (BCR) = 2.11,"Yes - The CBA indicates BCR 2.11 (>1), and the project is described as socially returnable; thus it is deemed economically viable and recommended to proceed.",No,gpt-5
Doprava,"D1 Lietavská Lúčka – Dubná Skala, technológia tunela","D1 Lietavská Lúčka – Dubná Skala, tunnel technology",,,analýza,analysis,https://www.mfsr.sk/files/archiv/36/hodnotenie_vfm_D1_aktualizacia_visnove_20211129.pdf,30.10.2021,338 kB,1.045,SLK_DP-070,,Positive,"The Ministry of Finance of the Slovak Republic recommends the project due to its high social priority. The assessment states that the project is socially beneficial and that the increase in technology costs has only a minimal impact on the project's return. The recommendation includes proceeding with the project, reducing the estimated contract value, and ensuring clear and objective procurement criteria.",No,Not specified,"Not specified - The document states that the project is socially beneficial and that the increase in technology costs does not significantly affect the project's return, but it does not provide a specific EIIR or benefit-cost ratio value.",No,gpt-4.1
Doprava,Rýchlostná cesta R1 - Banská Bystrica – Slovenská Ľupča,Expressway R1 - Banská Bystrica – Slovenská Ľupča,,,analýza,analysis,https://www.mfsr.sk/files/archiv/56/doprava_vfm_hodnotenie_20211117.pdf,17.11.2021,464 kB,1.046,SLK_DP-069,,Positive,"Despite all assessed alternatives having BCR < 1, the Ministry of Finance recommends implementation due to urgent safety and capacity needs. UHP/MF SR advises realizing Variant III.A as the most cost-effective solution (EUR 75m without VAT), or Variant III.C (EUR 82m without VAT) considering time risks. The project addresses the critical bridge 66-079 in very poor condition and the capacity bottleneck on I/66 between Banská Bystrica and Biotika.",Yes,BCR = 0.48 for Variant III.C; all alternatives have BCR < 1,No - The CBA finds no alternative socially beneficial (BCR < 1). Implementation is recommended on safety and operational grounds rather than economic return.,No,gpt-5
Doprava,"I/51, I/76 Nitra – Kalná nad Hronom – Levice (Šarovce)","I/51, I/76 Nitra – Kalná nad Hronom – Levice (Šarovce)",,,Dátová príloha: Úpravy v CBA pre obchvat Veľkého L...,Data attachment: Adjustments in the CBA for the Veľký L...,https://www.mfsr.sk/files/archiv/74/Priloha_CBA_Lapas_upravy.rar,18.11.2021,364 kB,1.047,SLK_DP-068,,,,,,,,
Doprava,"I/51, I/76 Nitra – Kalná nad Hronom – Levice (Šarovce)","I/51, I/76 Nitra – Kalná nad Hronom – Levice (Šarovce)",,,analýza,analysis,https://www.mfsr.sk/files/archiv/54/hodnotenie_vfm_I51_I76_20211118_clean.pdf,18.11.2021,447 kB,1.048,SLK_DP-068,,Neutral,"The Ministry of Finance of the Slovak Republic (MF SR) provides a neutral, conditional recommendation. The assessment highlights significant methodological shortcomings in the feasibility study and cost-benefit analysis (CBA), such as incomplete comparison of alternatives, unreliable traffic modeling, and mathematical errors in operational cost calculations. The MF SR recommends revising and resubmitting the feasibility study according to valid methodological documents, with a focus on sections and bypasses that are considered socially beneficial. Some bypasses (Veľký Ďur, Kalná nad Hronom, Horná Seč) are considered potentially socially viable, but overall, the project requires further analysis and corrections before a clear positive or negative recommendation can be made.",No,Not specified,"Not specified - The document does not provide a specific EIIR or benefit-cost ratio value. It states that some bypasses are considered socially viable even after accounting for errors and limitations, but due to methodological flaws and missing analyses, a definitive assessment of viability for the entire project is not possible.",No,gpt-4.1
Doprava,Modernizácia vozového parku ZSSK - časť 6 - aktualizácia hodnotenia,Modernization of the ZSSK fleet - part 6 - evaluation update,,,analýza,analysis,https://www.mfsr.sk/files/archiv/22/Hodnotenie_ZSSK_9-DMJ-aktualizacia_20211130.pdf,30.11.2021,625 kB,1.049,SLK_DP-067,,,,,,,,
Doprava,"Modernizácia cesty I/68 Mníšek nad Popradom – Prešov, úsek Sabinov – obchvat","Modernization of road I/68 Mníšek nad Popradom – Prešov, section Sabinov – bypass",,,analýza,analysis,https://www.mfsr.sk/files/archiv/95/doprava_vfm_hodnotenie_20220110.pdf,12.1.2022,333 kB,1.05,SLK_DP-066,,,,,,,,
Doprava,"ŽSR, Modernizácia koridoru, štátna hranica ČR/SR – Čadca – Krásno nad Kysucou - aktualizácia hodnotenia","ŽSR, Modernization of the corridor, state border CR/SR – Čadca – Krásno nad Kysucou - evaluation update",,,analýza,analysis,https://www.mfsr.sk/files/archiv/25/KnK_Cadca_hranicaSR_akt_20220111_st.pdf,12.1.2022,193 kB,1.051,SLK_DP-065,,,,,,,,
Doprava,"I/51, I/61 Hranica SR/ČR – Holíč – Senica – Trnava – Hrnčiarovce nad Parnou","I/51, I/61 SR/CR border – Holíč – Senica – Trnava – Hrnčiarovce nad Parnou",,,analýza,analysis,https://www.mfsr.sk/files/archiv/10/hodnotenie_SSC_I51_CZ_TT_20220217.pdf,18.2.2022,413 kB,1.052,SLK_DP-064,,,,,,,,
Doprava,I/15 Vranov nad Topľou - Stročín,I/15 Vranov nad Topľou - Stročín,,,analýza,analysis,https://www.mfsr.sk/files/archiv/48/hodnotenie_vfm_I15_Strocin_Vranov_20220218.pdf,18.2.2022,617 kB,1.053,SLK_DP-063,,,,,,,,
Doprava,"Modernizácia cesty I/75 Galanta – Nové Zámky, úsek Šaľa - obchvat","Modernization of road I/75 Galanta – Nové Zámky, section Šaľa - bypass",,,analýza,analysis,https://www.mfsr.sk/files/archiv/28/hodnotenie_vfm_I75_Sala_20220412.pdf,12.04.2022,547 kB,1.054,SLK_DP-062,,,,,,,,
Doprava,Výstavba novej železničnej trate v úseku Nitra – Trnovec nad Váhom,Construction of a new railway line in the section Nitra - Trnovec nad Váhom,,,analýza,analysis,https://www.mfsr.sk/files/archiv/20/UHP-hodnotenie-Nitra-Trnovec_20220421.pdf,21.04.2022,844 kB,1.055,SLK_DP-061,,Negative,"The Ministry of Finance (ÚHP) recommends not to proceed with the construction of the new railway line Nitra – Trnovec nad Váhom. The goal (faster Nitra–Bratislava connection) can be achieved by immediately introducing direct fast trains via Leopoldov (62–73 minutes vs. current 98–112 minutes). The study did not assess other relevant alternatives; modernization and electrification of Leopoldov–Nitra could deliver similar travel time savings at significantly lower cost (approx. EUR 199 million savings). The project is not among priorities, does not achieve sufficient social efficiency in any variant, overestimates benefits, has non-optimal technical designs, and presents an unrealistic schedule (earliest feasible construction start around 2029 vs. study’s 2023).",Not specified,Not specified,No - The assessment states the project does not reach sufficient social efficiency in any proposed variant; the preferred alternative was deemed socially profitable only due to an incorrect calculation of track operation costs in the without-project scenario.,No,gpt-5
Doprava,ŽSR Zvýšenie priepustnosti trate Bratislava - Dunajská Streda - Komárno,ŽSR Increasing the capacity of the line Bratislava - Dunajská Streda - Komárno,,,analýza,analysis,https://www.mfsr.sk/files/archiv/78/Hodnotenie-ZSR-Zvysenie-priepustnosti-BA-DS-KN_20220429.pdf,30.04.2022,718 kB,1.056,SLK_DP-060,,,,,,,,
Doprava,"Štúdia uskutočniteľnosti I/64 Topoľčany – Žilina, úsek Porúbka - Lietavská Lúčka, obchvat","Feasibility study I/64 Topoľčany – Žilina, section Porúbka - Lietavská Lúčka, bypass",,,analýza,analysis,https://www.mfsr.sk/files/archiv/84/hodnotenie_vfm_I64_Lietavska-Lucka_20220518.pdf,18.5.2022,503 kB,1.057,SLK_DP-059,,,,,,,,
Doprava,"Implementácia GSM-R do siete ŽSR, úsek Varín – Košice – Čierna nad Tisou","Implementation of GSM-R into the ŽSR network, section Varín - Košice - Čierna nad Tisou",,,analýza,analysis,https://www.mfsr.sk/files/archiv/20/Hodnotenie-ZSR-GSM-R-Varin-KE-CnT_20220518.pdf,18.5.2022,255 kB,1.058,SLK_DP-058,,,,,,,,
Doprava,Modernizácia železničnej trate Krásno nad Kysucou – štátna hranica SR/ČR (aktualizácia),Modernization of the railway line Krásno nad Kysucou - state border SR/CR (update),,,analýza,analysis,https://www.mfsr.sk/files/archiv/95/Hodnotenie-ZSR_KnK_Cadca_20220518.pdf,18.5.2022,512 kB,1.059,SLK_DP-057,,Positive,"The Ministry of Finance of the Slovak Republic recommends proceeding with the preparation of the reconstruction of the section Krásno nad Kysucou – Čadca in the variant with the construction of the new transfer terminal Krásno. The updated feasibility study corrected significant technical errors and demonstrated that the project is socially beneficial, with a benefit-cost ratio (B/C) of 1.23 for the preferred variant.",Yes,Benefit-Cost Ratio (B/C) of 1.23 for the preferred variant with the transfer terminal; 1.04 for the variant without the terminal.,"Yes - The benefit-cost ratio exceeds 1.0 for both variants, indicating the project is considered economically viable. The preferred variant with the transfer terminal has a higher B/C ratio (1.23), further supporting its viability.",No,gpt-4.1
Doprava,"Diaľnica D3, Žilina, Strážov – štátna hranica SR/PR","Highway D3, Žilina, Strážov – state border SR/PR",,,analýza,analysis,https://www.mfsr.sk/files/archiv/69/Hodnotenie_vfm_NDS_D3_20220622.pdf,22.6.2022,591 kB,1.06,SLK_DP-054,,,,,,,,
Doprava,"Modernizácia cesty I/75 Galanta – Nové Zámky, úsek Šaľa – obchvat (aktualizácia č. 2)","Modernization of road I/75 Galanta – Nové Zámky, section Šaľa – bypass (update no. 2)",,,analýza,analysis,https://www.mfsr.sk/files/archiv/24/Hodnotenie_vfm_SSC_I75_Sala_20220622.pdf,22.6.2022,359 kB,1.061,SLK_DP-056,,,,,,,,
Doprava,R2 Zvolen západ – Zvolen východ,R2 West selected - East selected,,,analýza,analysis,https://www.mfsr.sk/files/archiv/47/Hodnotenie_NDS_R2_Zvolen_20220622.pdf,22.6.2022,778 kB,1.062,SLK_DP-055,,,,,,,,
Doprava,Modernizácia železničného koridoru Žilina – Košice – Čierna nad Tisou,Modernization of the railway corridor Žilina – Košice – Čierna nad Tisou,,,analýza,analysis,https://www.mfsr.sk/files/archiv/33/ZilinaKosiceCnT_20220706.pdf,6.7.2022,689 kB,1.063,SLK_DP-053,,Neutral,"The assessment acknowledges the necessity of modernizing the Žilina – Košice – Čierna nad Tisou railway corridor but expresses significant reservations about the preferred alternative (3.1). It states that this alternative does not provide the highest value for money and is only third in terms of return on investment. There are concerns about overestimated benefits, underestimated costs, and unrealistic construction timelines. The Ministry of Finance recommends focusing on sections with the highest socio-economic returns and updating the feasibility study to address identified issues.",No,Not specified,"No - The document states that after adjusting for more realistic cost savings, only alternative 2.3 appears to be socially viable, while the preferred alternative 3.1 does not provide the highest return and is not considered the most viable option.",No,gpt-4.1
Doprava,Poskytovanie mýtnych služieb – opakovanie verejného obstarávania,Provision of toll services - repetition of public procurement,,,analýza,analysis,https://www.mfsr.sk/files/archiv/84/hodnotenie_mytnesluzby_07072022.pdf,7.7.2022,442 kB,1.064,SLK_DP-052,,,,,,,,
Doprava,Elektrifikácia trate Bánovce nad Ondavou – Humenné (aktualizácia),Electrification of the line Bánovce nad Ondavou - Humenné (update),,,analýza,analysis,https://www.mfsr.sk/files/archiv/12/Hodnotenie_Elektrifikacia-BAHU_20220713.pdf,13.7.2022,583 kB,1.065,SLK_DP-036,,,,,,,,
Doprava,Modernizácia železničnej trate Poprad – Markušovce,Modernization of the railway line Poprad – Markušovce,,,analýza,analysis,https://www.mfsr.sk/files/archiv/88/Hodnotenie_Poprad_Markusovce_20220719.pdf,21.7.2022,404 kB,1.066,SLK_DP-050,,,,,,,,
Doprava,Rýchlostná cesta R2 Kriváň – Tornaľa,Expressway R2 Kriváň – Tornaľa,,,analýza,analysis,https://www.mfsr.sk/files/archiv/18/Hodnotenie_NDS_R2-Krivan-Tornala_20220727.pdf,27.7.2022,311 kB,1.067,SLK_DP-049,,,,,,,,
Doprava,Modernizácia železničnej trate Devínska Nová Ves - štátna hranica,Modernization of the railway line Devínska Nová Ves - state border,,,analýza,analysis,https://www.mfsr.sk/files/archiv/82/Hodnotenie-UHP_DNV_Marchegg_20220916.pdf,16.9.2022,431 kB,1.068,SLK_DP-048,,,,,,,,
Doprava,Modernizácia železničnej trate Hronský Beňadik – Nová Baňa,Modernization of the railway line Hronský Beňadik – Nová Baňa,,,analýza,analysis,https://www.mfsr.sk/files/archiv/35/Hodnotenie_Hronsky-Benadik_Nova-Bana-20220922.pdf,23.9.2022,542 kB,1.069,SLK_DP-047,,Neutral,"The Ministry of Finance recommends continuing with the project preparation and updating the feasibility study to demonstrate the project's viability before public procurement. While the project is considered necessary and among the highest investment priorities, the current feasibility study contains methodological errors and lacks measurable objectives, making it impossible to clearly prove social return.",No,Benefit-Cost Ratio 1.24,"Not specified - The document states the project is economically viable according to the study (BCR 1.24), but also highlights methodological errors and incomplete analysis, so the viability cannot be objectively confirmed.",No,gpt-4.1
Doprava,Dopravný uzol Bratislava,Bratislava transport hub,,,analýza,analysis,https://www.mfsr.sk/files/archiv/63/Hodnotenie_uzol-BA_20221103.pdf,3.11.2022,"1,52 MB",1.07,SLK_DP-046,,,,,,,,
Doprava,ŽSR - Zriadenie a prevádzkovanie kontrolných bodov,ŽSR - Establishment and operation of checkpoints,,,analýza,analysis,https://www.mfsr.sk/files/archiv/43/Hodnotenie_ChPs_20221123.pdf,23.11.2022,678 kB,1.071,SLK_DP-045,,,,,,,,
Doprava,"Diaľnica D1 Bratislava - Senec, 1. úsek Bratislava – Triblavina, I. a II. etapa (aktualizácia)","Highway D1 Bratislava - Senec, 1st section Bratislava - Triblavina, I. and II. stage (update)",,,analýza,analysis,https://www.mfsr.sk/files/archiv/4/hodnotenie_vfm_D1_Triblavina_20221121.pdf,24.11.2022,114 kB,1.072,SLK_DP-044,,,,,,,,
Doprava,Nákup 5 ks ekologických koľajových vozidiel pre osobnú dopravu,Purchase of 5 ecological rolling stock for passenger transport,,,analýza,analysis,https://www.mfsr.sk/files/archiv/75/Hodnotenie-ZSSK-5-EJ_20221207.pdf,7.12.2022,451 kB,1.073,SLK_DP-043,,,,,,,,
Doprava,Preložka cesty I/61 v Trenčíne,Intersection of the I/61 road in Trenčín,,,analýza,analysis,https://www.mfsr.sk/files/archiv/40/SSC_prelozka_I61_Trencin_20230210.pdf,10.2.2023,655 kB,1.074,SLK_DP-042,,,,,,,,
Doprava,Nákup 26 ks dieselových motorových jednotiek pre osobnú dopravu,Purchase of 26 diesel engine units for passenger transport,,,analýza,analysis,https://www.mfsr.sk/files/archiv/16/Hodnotenie-ZSSK-26-DMJ_20230224.pdf,24.2.2023,654 kB,1.075,SLK_DP-041,,,,,,,,
Doprava,Implementácia GSM-R na trati Varín – Košice – Čierna nad Tisou (aktualizácia),Implementation of GSM-R on the line Varín - Košice - Čierna nad Tisou (update),,,analýza,analysis,https://www.mfsr.sk/files/archiv/19/Hodnotenie_GSM-R_Varin-KE-CnT_20230301.pdf,1.3.2023,404 kB,1.076,SLK_DP-040,,Positive,"The document recommends to continue with the implementation of the project. It notes that the project is necessary to meet the requirements of the trans-European transport network regulation and is included in the investment plan. Although some recommendations from the Ministry of Finance were only partially implemented, the overall assessment supports proceeding with the project, with a suggestion to adjust the contract if certain works are not realized.",Not specified,Not specified,"Not specified - The document does not provide a specific EIIR or benefit-cost ratio, nor does it directly assess viability based on these metrics.",No,gpt-4.1
Doprava,R1 Banská Bystrica – Slovenská Ľupča (aktualizácia),R1 Banská Bystrica – Slovenská Ľupča (update),,,analýza,analysis,https://www.mfsr.sk/files/archiv/52/R1-BB-Slovenska-Lupca_Aktualizacia_20230302.pdf,2.3.2023,399 kB,1.077,SLK_DP-039,,,,,,,,
Doprava,"D3 Žilina, Brodno – Kysucké Nové Mesto (I. etapa)","D3 Žilina, Brodno – Kysucké Nové Mesto (stage I)",,,analýza,analysis,https://www.mfsr.sk/files/archiv/63/Hodnotenie_D3_etapa1.pdf,24.3.2023,474 kB,1.078,SLK_DP-038,,,,,,,,
Doprava,Vybudovanie diaľkovo ovládaného zabezpečovacieho zariadenia na trati Prešov – Strážske,Construction of a remotely controlled security device on the Prešov - Strážske line,,,analýza,analysis,https://www.mfsr.sk/files/archiv/92/Hodnotenie_DOZZ_Presov_Strazske.pdf,19.4.2023,613 kB,1.079,SLK_DP-037,,,,,,,,
Doprava,Elektrifikácia trate Bánovce nad Ondavou – Humenné (aktualizácia),Electrification of the line Bánovce nad Ondavou – Humenné (update),,,analýza,analysis,https://www.mfsr.sk/files/archiv/29/Hodnotenie_ELBAHU_20230419.pdf,21.4.2023,423 kB,1.08,SLK_DP-051,,,,,,,,
Doprava,"D4 Bratislava, Rača – Záhorská Bystrica (tunel Karpaty)","D4 Bratislava, Rača – Záhorská Bystrica (Carpathian tunnel)",,,analýza,analysis,https://www.mfsr.sk/files/archiv/17/Hodnotenie_D4_tunel-Karpaty_20230420.pdf,2.5.2023,308 kB,1.081,SLK_DP-035,,,,,,,,
Doprava,Modernizácia železničnej trate Hronský Beňadik – Nová Baňa (aktualizácia),Modernization of the railway line Hronský Beňadik – Nová Baňa (update),,,analýza,analysis,https://www.mfsr.sk/files/archiv/18/Rekonstrukcia-Hronsky-Benadik-Nova-Bana_aktualizacia-pred-VO.pdf,9.6.2023,398 kB,1.082,SLK_DP-034,,Positive,"The document recommends to continue with the implementation of the project. It also suggests making the detailed budget of the winning bid available for reference pricing and recommends that future studies should assess relevant alternatives. Despite a decrease in the benefit-cost ratio (BCR) from 1.243 to 1.077 due to increased costs, the project still demonstrates positive economic benefits.",Yes,Benefit-Cost Ratio (BCR) decreased from 1.243 to 1.077,"Yes - The BCR remains above 1, indicating that the project's benefits still outweigh its costs, which is generally considered viable for public investment projects.",No,gpt-4.1
Doprava,"D3 Oščadnica – Čadca, Bukov (II. etapa)","D3 Oščadnica – Čadca, Bukov (II stage)",,,analýza,analysis,https://www.mfsr.sk/files/archiv/4/UHP_hodnotenie_D3-Oscadnica-Cadca-Bukov-II.pdf,16.6.2023,446 kB,1.083,SLK_DP-033,,,,,,,,
Doprava,"Rýchlostná cesta R4 Prešov – severný obchvat, II. etapa (aktualizácia)","Expressway R4 Prešov – northern bypass, II. stage (update)",,,analýza,analysis,https://www.mfsr.sk/files/archiv/46/Hodnotenie_Aktualizacia_Presov_obchvat_sever_etapa_II_R4.pdf,22.6.2023,410 kB,1.084,SLK_DP-032,,,,,,,,
Doprava,Nákup 18 ks lôžkových vozňov,Purchase of 18 sleeping cars,,,analýza,analysis,https://www.mfsr.sk/files/archiv/44/Hodnotenie-ZSSK-lozkove-vozne_UHP.pdf,24.6.2023,728 kB,1.085,SLK_DP-031,,Negative,"The assessment recommends not to proceed with the project in its current form unless a financially viable business model is demonstrated, relevant alternatives are assessed, and errors in the economic and financial analysis are corrected. The project is considered financially non-viable and clearly loss-making, with a very low benefit-cost ratio (BCR) of 0.03 for new carriages and 0.09 for used carriages. The need for sleeper carriages may decrease in the coming years, and the project is not among the immediate investment priorities.",No,"BCR 0.03 (new carriages), BCR 0.09 (used carriages)","No - The benefit-cost ratio is far below 1, indicating the project is not socially or financially viable. The analysis also highlights missing or incomplete assessment of alternatives and errors in cost calculations.",No,gpt-4.1
Doprava,Modernizácia železničnej trate Poprad – Vydrník (aktualizácia),Modernization of the railway line Poprad – Vydrník (update),,,analýza,analysis,https://www.mfsr.sk/files/archiv/40/Hodnotenie_UHP_Poprad-Tatry-Vydrnik.pdf,30.6.2023,433 kB,1.086,SLK_DP-030,,,,,,,,
Doprava,D3 Kysucké Nové Mesto - Oščadnica (III. etapa),D3 Kysucké Nové Mesto - Oščadnica (III stage),,,analýza,analysis,https://www.mfsr.sk/files/archiv/30/Hodnotenie_D3_III-etapa_KNM_Oscadnica.pdf,27.7.2023,543 kB,1.087,SLK_DP-029,,,,,,,,
Doprava,"I/61 Trenčín, preložka (aktualizácia)","I/61 Trenčín, transfer (update)",,,analýza,analysis,https://www.mfsr.sk/files/archiv/78/Hodnotenie_UHP_Trencin_prelozka.pdf,17.8.2023,423 kB,1.088,SLK_DP-028,,,,,,,,
Doprava,R1 Banská Bystrica – Slovenská Ľupča (aktualizácia pred podpisom zmluvy),R1 Banská Bystrica – Slovenská Ľupča (update before signing the contract),,,analýza,analysis,https://www.mfsr.sk/files/archiv/61/Hodnotenie_BB_SL_R1_akt_pred-podpisom.pdf,25.8.2023,414 kB,1.089,SLK_DP-027,,,,,,,,
Doprava,"D1 Lietavská Lúčka – Dubná Skala, technológia tunela Višňové (aktualizácia pred podpisom zmluvy)","D1 Lietavská Lúčka – Dubná Skala, Višňové tunnel technology (update before signing the contract)",,,analýza,analysis,https://www.mfsr.sk/files/archiv/23/Hodnotenie-pred-podpisom-NDS-D1-Technologia-tunela-Visnove.pdf,4.9.2023,399 kB,1.09,SLK_DP-026,,,,,,,,
Doprava,TTR – redizajn procesu tvorby cestovného poriadku pre lepšie využívanie železničnej infraštruktúry,TTR - redesign of the timetable creation process for better use of railway infrastructure,,,analýza,analysis,https://www.mfsr.sk/files/archiv/78/UHP_Hodnotenie-TTR_20230907.pdf,7.9.2023,487 kB,1.091,SLK_DP-025,,Neutral,"MF SR acknowledges the objective to improve use of rail capacity is justified and aligned with EU TTR, but raises major reservations: the new IT system will not resolve key bottlenecks (outage planning and poor infrastructure condition), the IT investment (approx. €11.4m within a €12.7m variant) is not clearly justified, the budget is an expert estimate with potentially overstated unit rates, and the study does not sufficiently evidence benefits. MF SR sets conditions before procurement (prove scope/costs, market consultations, process changes—especially outage planning, add verifiable budget and quantified benefits, and prepare an IT development concept and prioritized investment plan).",No,Benefit-Cost Ratio (BCR): Variant 1 = 1.37; Variant 2 (preferred) = 3.05,"Yes — The feasibility study reports BCR > 1 for both variants, but MF SR questions the evidence for benefits (90% of benefits rely on modal shift while current capacity is not fully utilized) and the IT cost justification.",No,gpt-5
Doprava,I/68 Sabinov preložka cesty (aktualizácia),I/68 Sabinov road crossing (update),,,analýza,analysis,https://www.mfsr.sk/files/archiv/39/Hodnotenie-pred-podpisom-I68-Sabinov-prelozka-cesty.pdf,27.10.2023,399 kB,1.092,SLK_DP-024,,,,,,,,
Doprava,"D3 Žilina, Brodno – Čadca, Bukov (IV. etapa)","D3 Žilina, Brodno – Čadca, Bukov (IV stage)",,,analýza,analysis,https://www.mfsr.sk/files/archiv/71/Hodnotenie-D3_4-etapa.pdf,27.10.2023,383 kB,1.093,SLK_DP-023,,,,,,,,
Doprava,Koncepčná štúdia severojužného cestného prepojenia v oblasti stredného Slovenska,Conceptual study of the north-south road connection in the area of ​​central Slovakia,,,analýza,analysis,https://www.mfsr.sk/files/archiv/52/Hodnotenie_severojuzne_R1R3.pdf,10.11.2023,389 kB,1.094,SLK_DP-022,,,,,,,,
Doprava,Nákup 6 ks ekologických koľajových vozidiel pre osobnú dopravu,Purchase of 6 ecological rolling stock for passenger transport,,,analýza,analysis,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie-zssk-6-ej_20240229.pdf,29.2.2024,410 kB,1.095,SLK_DP-021,,,,,,,,
Doprava,Rekonštrukcia železničnej trate Veľký Horeš – Streda nad Bodrogom (aktualizácia),Reconstruction of the Veľký Horeš – Streda nad Bodrogom railway line (update),,,analýza,analysis,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie_velky-hores-streda-nad-bodrogom.pdf,13.3.2024,229 kB,1.096,SLK_DP-020,,,,,,,,
Doprava,TTR – redizajn procesu tvorby cestovného poriadku pre lepšie využívanie železničnej infraštruktúry (aktualizácia),TTR - redesign of the timetable creation process for better use of railway infrastructure (update),,,analýza,analysis,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie-ttr-aktualizacia.pdf,21.5.2024,217 kB,1.097,SLK_DP-019,,,,,,,,
Doprava,D1 Turany - Hubová,D1 Turany - Hubová,,,analýza,analysis,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie_d1_turany_hubova.pdf,24.5.2024,462 kB,1.098,SLK_DP-018,,,,,,,,
Doprava,"D3 Oščadnica – Čadca, Bukov (aktualizácia)","D3 Oščadnica – Čadca, Bukov (update)",,,analýza,analysis,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/aktualizacia-hodnotenia_d3_oscadnica_cadca-bukov.pdf,30.5.2024,192 kB,1.099,SLK_DP-017,,,,,,,,
Doprava,Nákup 25 rušňov a 10 ucelených súprav do diaľkovej dopravy,Purchase of 25 locomotives and 10 complete sets for long-distance transport,,,hodnotenie,evaluation,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie-zssk-vozidla-dialkovu-dopravu.pdf,6.6.2024,280 kB,1.1,SLK_DP-016,,Neutral,"The assessment does not provide a clear positive or negative recommendation. It acknowledges the need to replace old locomotives and rolling stock, but raises concerns about whether the project is the optimal solution. The analysis points out missing evaluation of alternatives, unclear utilization of locomotives, potential overcapacity, and risks related to future liberalization of the rail market. The Ministry of Finance recommends further analysis and conditional procurement based on guaranteed utilization and assessment of needs.",No,Not specified,"Not specified - The document states that due to errors in the economic analysis, it is not possible to objectively evaluate the return on investment for this solution.",No,gpt-4.1
Doprava,Cesta I/75 Šaľa – obchvat (aktualizácia pred podpisom zmluvy),Road I/75 Šaľa – bypass (update before signing the contract),,,hodnotenie,evaluation,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/i75-sala_aktualizacia-hodnotenia-pred-podpisom-zmluvy.pdf,12.7.2024,155 kB,1.101,SLK_DP-015,,,,,,,,
